"Hour","Weekday","n"
9,3,8483
9,4,8099
9,2,7833
9,5,7648
18,2,7508
18,3,7243
18,4,7130
18,5,6758
10,3,5603
10,4,5497
19,3,5294
10,2,5219
10,5,5181
19,4,5156
19,2,4990
17,3,4769
19,5,4704
17,4,4585
17,2,4487
8,3,4452
17,5,4317
8,4,4195
8,2,4128
8,5,3830
20,3,2478
20,4,2452
20,2,2404
13,3,2274
20,5,2222
13,5,2193
13,4,2148
16,5,2127
11,4,2104
11,3,2039
11,5,2039
16,4,2005
14,5,1992
16,3,1949
11,2,1929
14,4,1907
12,5,1886
16,2,1877
13,2,1855
14,3,1821
12,4,1751
12,3,1747
14,2,1559
15,5,1537
12,2,1485
21,4,1443
7,3,1426
21,3,1415
15,4,1386
15,3,1341
21,2,1322
15,2,1316
7,4,1298
21,5,1235
7,2,1206
7,5,1182
13,1,1133
14,1,1124
16,1,1102
12,1,1033
17,1,1033
15,1,1024
22,3,958
18,1,943
22,4,926
22,5,850
11,1,819
19,1,784
22,2,779
10,1,649
20,1,594
23,3,576
23,4,549
23,5,515
21,1,430
23,2,401
6,3,318
6,4,318
22,1,287
24,5,276
24,4,271
24,3,266
6,5,264
9,1,263
6,2,248
1,1,189
23,1,183
24,2,182
8,1,133
2,1,101
24,1,99
1,5,94
1,4,91
7,1,71
1,3,66
2,4,60
3,1,60
2,5,48
1,2,36
6,1,33
3,5,29
3,4,27
5,5,27
2,3,26
5,4,25
4,1,22
3,3,20
5,3,19
5,2,18
2,2,17
4,4,15
4,3,12
4,5,12
3,2,9
4,2,9
5,1,9
