"date","max_temperature_f","mean_temperature_f","min_temperature_f","max_visibility_miles","mean_visibility_miles","min_visibility_miles","max_wind_Speed_mph","mean_wind_speed_mph","max_gust_speed_mph","precipitation_inches","cloud_cover","events","zip_code","city"
2020-01-07,61,54,46,10,9,7,15,4,17,NA,5,"Rain",94107,"San Francisco"
2020-01-09,60,56,52,10,10,5,25,12,31,NA,5,"",94107,"San Francisco"
2020-01-11,58,52,46,10,10,6,18,6,22,NA,4,"",94107,"San Francisco"
2020-01-29,63,59,54,10,10,7,20,8,22,NA,8,"Rain",94107,"San Francisco"
2020-01-30,58,55,52,10,10,9,30,14,38,NA,6,"Rain",94107,"San Francisco"
2020-02-10,57,54,51,10,9,2,17,10,20,NA,7,"Rain",94107,"San Francisco"
2020-02-15,62,57,52,10,10,7,17,5,21,NA,7,"Rain",94107,"San Francisco"
2020-01-28,66,57,48,10,10,6,13,3,15,NA,4,"Rain",94301,"Palo Alto"
2020-01-08,58,54,50,10,8,2,14,5,16,NA,7,"Rain",95113,"San Jose"
2020-02-14,63,58,53,10,7,1,12,4,14,NA,7,"",95113,"San Jose"
2020-03-09,71,63,55,10,10,10,13,6,18,NA,7,"Rain",94107,"San Francisco"
2020-03-10,68,62,56,10,10,9,20,8,22,NA,5,"Rain",94107,"San Francisco"
2020-03-17,69,59,49,10,10,10,22,11,29,NA,3,"",94107,"San Francisco"
2020-03-27,65,61,56,10,10,7,17,9,25,NA,6,"",94107,"San Francisco"
2020-04-02,61,53,45,10,10,10,21,8,28,NA,4,"Rain",94107,"San Francisco"
2020-04-22,65,59,52,10,10,4,31,19,36,NA,5,"Rain",94107,"San Francisco"
2020-04-27,64,58,52,10,10,7,24,13,30,NA,5,"Rain",94107,"San Francisco"
2020-05-08,65,60,54,10,10,6,18,10,23,NA,7,"Rain",94107,"San Francisco"
2020-05-09,69,62,55,10,10,7,29,16,35,NA,5,"",94107,"San Francisco"
2020-05-26,73,62,51,10,10,9,20,8,23,NA,0,"",94107,"San Francisco"
2020-05-31,69,61,53,10,10,10,18,10,22,NA,4,"",94107,"San Francisco"
2020-06-25,68,63,57,10,10,8,21,13,33,NA,7,"",94107,"San Francisco"
2020-06-26,70,65,59,10,10,7,18,12,32,NA,5,"Rain",94107,"San Francisco"
2020-07-12,70,64,58,10,10,6,23,12,25,NA,5,"",94107,"San Francisco"
2020-07-13,71,65,58,10,9,6,16,8,21,NA,6,"",94107,"San Francisco"
2020-08-05,74,68,62,10,10,10,20,7,26,NA,7,"",94107,"San Francisco"
2020-08-06,78,69,60,10,10,10,20,8,36,NA,6,"Rain",94107,"San Francisco"
2020-08-09,67,63,59,10,10,9,21,12,31,NA,6,"",94107,"San Francisco"
2020-08-10,73,67,60,10,10,10,22,9,36,NA,6,"",94107,"San Francisco"
2020-08-18,68,64,60,10,10,9,22,11,28,NA,7,"",94107,"San Francisco"
2020-08-19,74,67,60,10,10,9,21,10,23,NA,5,"Rain",94107,"San Francisco"
